model,dataset,metric,method,prr_score
Llama 3.1 8B,wmt19_deen,XComet XXL,PPL-LINE,0.3678369401861457
Llama 3.1 8B,wmt19_fien,XComet XXL,PPL,0.4885352287505676
Llama 3.1 8B,wmt19_fien,XComet XXL,PPL-LINE,0.4860016923333916
Llama 3.1 8B,wmt19_lten,XComet XXL,PPL,0.4887982912856121
Llama 3.1 8B,wmt19_lten,XComet XXL,PPL-LINE,0.483012784046942
Llama 3.1 8B,wmt19_ruen,XComet XXL,PPL,0.2720063442000522
Llama 3.1 8B,wmt19_ruen,XComet XXL,PPL-LINE,0.4166192634299471
Llama 3.1 8B,wmt14_csen,XComet XXL,MTE,0.3988601774719892
Llama 3.1 8B,wmt14_csen,XComet XXL,MTE-LINE,0.4774070258798786
Llama 3.1 8B,wmt14_deen,XComet XXL,MTE,0.3706636427671608
Llama 3.1 8B,wmt14_deen,XComet XXL,MTE-LINE,0.47476784750638024
Llama 3.1 8B,wmt14_ruen,XComet XXL,MTE,0.33127674141477287
Llama 3.1 8B,wmt14_ruen,XComet XXL,MTE-LINE,0.5328336376442245
Llama 3.1 8B,wmt14_fren,XComet XXL,MTE,0.3032608541906003
Llama 3.1 8B,wmt14_fren,XComet XXL,MTE-LINE,0.4228060945899963
Llama 3.1 8B,wmt19_deen,XComet XXL,MTE,0.3440330098279059
Llama 3.1 8B,wmt19_deen,XComet XXL,MTE-LINE,0.4384106278021453
